,n_layers,n_wires,train_f1_score,test_f1_score,runtime
0,1,1,0.9777777777777777,0.9333333333333333,622.7871959209442
1,1,2,0.9666666666666667,0.9833333333333333,1684.490924835205
2,1,3,0.9777777777777777,0.9500000000000001,3348.0544741153717
3,1,4,0.9666666666666667,0.9833333333333333,5714.932501316071
4,2,1,0.9666666666666667,0.9500000000000001,1768.3521604537964
5,2,2,0.9666666666666667,0.9666666666666667,5270.491912603378
6,2,3,0.9666666666666667,0.9666666666666667,9916.155164003372
7,2,4,0.9777777777777777,0.9666666666666667,16692.833639621735
